"date","content","url"
"2025-12-10","Today, 10 December 2025, the landmark Declaration of Cooperation (DoC) between OPEC Member Countries and 10 non-OPEC oil-producing countries turns nine.

It was nine years ago, on this historic day, that OPEC Member Countries and Azerbaijan; the Kingdom of Bahrain; Brunei Darussalam; Equatorial Guinea, which later joined OPEC; Kazakhstan; Malaysia; Mexico; the Sultanate of Oman; the Russian Federation; the Republic of Sudan; and the Republic of South Sudan met in Vienna, Austria, to discuss recent global oil market developments and look at possible means to restore a sustainable oil market stability.

The meeting led to the birth of the DoC. This followed extensive rounds of consultations in the previous months of 2016, which included developments such as the ‘Algiers Accord’ on 28 September at the 170th (Extraordinary) Meeting of the OPEC Conference in Algiers and the ‘Vienna Agreement’ on 30 November at the 171st Meeting of the OPEC Conference in Vienna.

The DoC saw the producers present uphold their responsibility for oil market stability in the interest of all oil producing and consuming countries. It demonstrated a commitment to the global community to help restore and sustain oil market stability with positive and broad implications for the world economy. This commitment has continued in the nine years since.

HE Haitham Al Ghais, OPEC Secretary General, said: “History was made nine years ago and a new journey began, one that has highlighted the necessity, value and importance of multilateral dialogue and engagement at ministerial, technical and research levels. Looking back, it is clear that the DoC has become the framework to help support oil market stability, energy security and global economic growth.

“Its success over the years is down to the trust and transparency that has developed among all participants. Its strength is based on the sum of all its parts. Every country has an important role to play. I have no doubt it will continue to evolve and flourish in the years and decades to come. We look forward to celebrating the 10th Anniversary in 2026.”


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/585-10-december-2025.html"
"2025-12-01","As agreed during the virtual meeting held by the eight countries with additional voluntary adjustments, including Saudi Arabia, Russia, Iraq, the United Arab Emirates, Kuwait, Kazakhstan, Algeria, and Oman on 2 November 2025, the OPEC Secretariat received updated compensation plans as per the table above.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1764579755.png
|_| Nov-25 | Dec-25 | Jan-26 | Feb-26 | Mar-26 | Apr-26 | May-26 _ Jun-26 |
‘iraq —*| tas tas | 95 | as | 120 | 120 | 108 | 103 |
uae | 10 | 10 | 10 | 25 | 25 | sa | 5555 _|
roman |_3 | 6 | 6 | 4 | 6 | 4 | 7 5_|
total | 221] 272] 400 | 662] 720] 947 735 882)
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/584-01-december-2025.html"
"2025-11-30","The eight OPEC+ countries, which previously announced additional voluntary adjustments in April and November 2023, namely Saudi Arabia, Russia, Iraq, UAE, Kuwait, Kazakhstan, Algeria, and Oman met virtually on 30 November 2025, to review global market conditions and outlook.

The eight participating countries reaffirmed their decision on 2 November 2025 to pause production increments in January, February, and March 2026 due to seasonality as detailed in the table below. 

The eight participating countries reiterated that the 1.65 million barrels per day may be returned in part or in full subject to evolving market conditions and in a gradual manner. The countries will continue to closely monitor and assess market conditions, and in their continuous efforts to support market stability, they reaffirmed the importance of adopting a cautious approach and retaining full flexibility to continue pausing or reverse the additional voluntary production adjustments, including the previously implemented voluntary adjustments of the 2.2 million barrels per day announced in November 2023. 

The eight countries reiterated their collective commitment to achieve full conformity with the Declaration of Cooperation, including the additional voluntary production adjustments that will be monitored by the Joint Ministerial Monitoring Committee (JMMC). They also confirmed their intention to fully compensate for any overproduced volume since January 2024. 

The eight OPEC+ countries will hold monthly meetings to review market conditions, conformity, and compensation. The eight countries will meet on 4 January 2026.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1764516384.png
January 2026 until March 2026 Required Production Table
Required Production (kbd)
Country
Jan 2026 Feb 2026 Mar 2026
on oe
Saudi Arabia } 10,103 | 10,103 | 10,103 |
Kazakhstan  j 160 | 1500 | 1800
oom EC
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/583-30-november-2025.html"
"2025-11-30","Press Statement 

In light of the continued commitment of the OPEC and non-OPEC Participating Countries in the Declaration of Cooperation (DoC) to achieve and sustain a stable oil market, the Participating Countries decided to: 

1. Reaffirm the Framework of the Declaration of Cooperation, signed on 10 December 2016 and further endorsed in subsequent meetings.

2. Reaffirm the level of overall crude oil production for OPEC and non-OPEC Participating Countries in the DoC as agreed in the 38th OPEC and non-OPEC Ministerial Meeting until 31 December 2026. 

3. Reaffirm the mandate of the Joint Ministerial Monitoring Committee (JMMC) to closely review global oil market conditions, oil production levels, and the level of conformity with the DoC, assisted by the OPEC Secretariat. The JMMC meeting is to be held every two months. 

4. Reaffirm the JMMC’s authority to hold additional meetings, or to request an OPEC and non-OPEC Ministerial Meeting at any time to address market developments, whenever deemed necessary. 

5. Reiterate the critical importance of adhering to full conformity and the compensation mechanism. 

6. In reference to the decision of the 39th ONOMM; mandating the OPEC Secretariat to develop a mechanism to assess participating countries’ maximum sustainable production capacity (MSC) to be used as reference for the 2027 production baselines for all DoC countries, the Participating Countries approved the mechanism developed by the Secretariat. 

7. Reaffirm the framework of the Charter of Cooperation (CoC), signed on 2 July 2019, and request the OPEC Secretariat to develop a plan and convert it into programs to achieve the full objectives of the CoC, as it was originally mandated, and present it to the 41st OPEC and non-OPEC Ministerial Meeting. 

8. Hold the 41st OPEC and non-OPEC Ministerial Meeting on 7 June 2026.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/582-30-november-2025.html"
"2025-11-14","The Organization of the Petroleum Exporting Countries (OPEC) and the Gas Exporting Countries Forum (GECF) convened the Sixth High-Level Meeting of the OPEC–GECF Energy Dialogue today at the OPEC Secretariat in Vienna.

The meeting further strengthened cooperation between the world’s leading oil- and gas-exporting country organizations, noted the record level of oil and gas consumption and the positive prospects, and underscored the pressing need for timely, sustained and long-term investment in hydrocarbons.

Co-chaired by HE Haitham Al Ghais, OPEC Secretary General, and HE Eng. Mohamed Hamel, GECF Secretary General, the meeting reviewed oil and gas market developments, long-term outlooks, energy data collaboration, and joint activities leading up to, and during COP30

HE Al Ghais highlighted the continued growth in global demand for hydrocarbons.
“Global natural gas consumption is on track to rise by 1.6% in 2025, while global oil demand is projected to grow by 1.3 million barrels per day. It is one record after another, year after year.”

HE Al Ghais also noted the long-term prospects for energy demand, with OPEC’s World Oil Outlook projecting that global energy demand will increase by 23% by 2050, with global oil demand reaching 123 mb/d, and the combined share of oil and gas in the global energy mix staying above 50% through to 2050. HE Al Ghais emphasized the importance of oil and gas as affordable and reliable sources of energy in meeting increasing future energy demand.

HE Al Ghais highlighted that innovation is crucial as technology will play a critical role in reducing emissions while meeting the increasing energy demand. HE Al Ghais underscored the importance of adopting a realistic approach to achieve a sustainable energy future.

HE Al Ghais also emphasized the importance of clear, fact-based communication, including to ensure a long-term investment-friendly climate – with sufficient finance available – that works for oil and gas producers and consumers.

HE Eng. Mohamed Hamel underscored that natural gas continues to play a pivotal role in sustainable development, ensuring global energy security and contributing to alleviating energy poverty.

“Natural gas remains the fastest-growing hydrocarbon fuel and an indispensable pillar of future energy systems. It is essential not only for power generation and industrial use but also for providing cleaner cooking, cooling and heating solutions for people around the world,” he stated.

Citing the GECF Global Gas Outlook 2050, he noted that global gas demand is projected to rise by over 32% by 2050, supported by demographic expansion, economic growth, and improvements in standards of living.

HE Eng. Mohamed Hamel also expressed GECF’s concern over certain European Union regulations and directives, including the Methane Emission Regulation (MER), the Corporate Sustainability Due Diligence Directive (CSDDD), and the Carbon Border Adjustment Mechanism (CBAM), underscoring their extraterritorial potentially damaging effects over energy security and global cooperation.

Both organizations cautioned against persistent underinvestment despite the expected long-term demand growth. The GECF Global Gas Outlook 2050 projects that $11.1 trillion will be needed to sustain future gas supply, while OPEC’s World Oil Outlook 2050 estimates that $18.2 trillion will be required across the global oil industry.

OPEC and the GECF have significantly expanded cooperation through technical exchanges, joint research and regular high-level engagement. Today’s meeting further strengthened this partnership and set the stage for enhanced cooperation in 2026.

Details regarding the Seventh High-Level Meeting of the OPEC–GECF Energy Dialogue will be announced in due course.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/581-14-november-2025.html"
"2025-11-02","As agreed during the virtual meeting held by the eight countries with additional voluntary adjustments, including Saudi Arabia, Russia, Iraq, the United Arab Emirates, Kuwait, Kazakhstan, Algeria, and Oman, on 5 October 2025, the OPEC Secretariat received updated compensation plans as per the table above.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1762110585.png
|__| Oct-25 | Nov-25 | Dec-25 | Jan-26 | Feb-26 | Mar-26 | Apr-26 | May-26 | Jun-26 |
[iraq | 130 | 130 | 125 | 125 | 125 | 120 | 120 | 110 | 104 |
[uae | to | 10 [| 10 | 20 | 30 | 30 | so | 55 | 55 |
| Kazakhstan | 27 | 93 | 133 | 243 | 415 | se3 | 503 | 563 | 663 |
[Oman | 8 | 3 | 6 | 5 | 4 {| 5 | 8 | w ||
[Russia | to | Cf | CT
[Total | 195 | 236 | 274 | 393 | 574 | 718 | 681 | 738 | 922 |
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/580-02-november-2025.html"
"2025-11-02","The eight OPEC+ countries, which previously announced additional voluntary adjustments in April and November 2023, namely Saudi Arabia, Russia, Iraq, UAE, Kuwait, Kazakhstan, Algeria, and Oman met virtually on 2 November 2025, to review global market conditions and outlook.

In view of a steady global economic outlook and current healthy market fundamentals, as reflected in the low oil inventories, the eight participating countries decided to implement a production adjustment of 137 thousand barrels per day from the 1.65 million barrels per day additional voluntary adjustments announced in April 2023. This adjustment will be implemented in December 2025.

Beyond December, due to seasonality, the eight countries also decided to pause the production increments in January, February, and March 2026 as detailed in the table below.

The eight participating countries reiterated that the 1.65 million barrels per day may be returned in part or in full subject to evolving market conditions and in a gradual manner. The countries will continue to closely monitor and assess market conditions, and in their continuous efforts to support market stability, they reaffirmed the importance of adopting a cautious approach and retaining full flexibility to continue pausing or reverse the additional voluntary production adjustments, including the previously implemented voluntary adjustments of the 2.2 million barrels per day announced in November 2023.

The eight OPEC+ countries also noted that this measure will provide an opportunity for the participating countries to accelerate their compensation. The eight countries reiterated their collective commitment to achieve full conformity with the Declaration of Cooperation, including the additional voluntary production adjustments that will be monitored by the Joint Ministerial Monitoring Committee (JMMC).

They also confirmed their intention to fully compensate for any overproduced volume since January 2024. The eight OPEC+ countries will hold monthly meetings to review market conditions, conformity, and compensation. The eight countries will meet on 30 November 2025.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1762099998.png
December 2025 until March 2026 Required Production Table
Production                    Required Production (kbd)
Country          Increments (kbd)
Dec 2025

Dec 2025 Jan 2026 Feb 2026 Mar 2026
oo ee
on cd
soot I ood
oe
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/579-02-november-2025.html"
"2025-10-05","The eight OPEC+ countries, which previously announced additional voluntary adjustments in April and November 2023, namely Saudi Arabia, Russia, Iraq, UAE, Kuwait, Kazakhstan, Algeria, and Oman met virtually on 5 October 2025, to review global market conditions and outlook

In view of a steady global economic outlook and current healthy market fundamentals, as reflected in the low oil inventories, the eight participating countries decided to implement a production adjustment of 137 thousand barrels per day from the 1.65 million barrels per day additional voluntary adjustments announced in April 2023. This adjustment will be implemented in November 2025 as detailed in the table below. The 1.65 million barrels per day may be returned in part or in full subject to evolving market conditions and in a gradual manner. The countries will continue to closely monitor and assess market conditions, and in their continuous efforts to support market stability, they reaffirmed the importance of adopting a cautious approach and retaining full flexibility to pause or reverse the additional voluntary production adjustments, including the previously implemented voluntary adjustments of the 2.2 million barrels per day announced in November 2023.

The eight OPEC+ countries also noted that this measure will provide an opportunity for the participating countries to accelerate their compensation. The eight countries reiterated their collective commitment to achieve full conformity with the Declaration of Cooperation, including the additional voluntary production adjustments that will be monitored by the Joint Ministerial Monitoring Committee (JMMC).

They also confirmed their intention to fully compensate for any overproduced volume since January 2024. The eight OPEC+ countries will hold monthly meetings to review market conditions, conformity, and compensation. The eight countries will meet on 2 November 2025.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1759663805.png
November 2025 Required Production Table (kbd)
November 2025 November 2025
Country    Production    Required
Increments (kbd) Production (kbd)
Saudi Arabia | 41 | 10,061 |
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/578-05-october-2025.html"
"2025-10-01","As agreed during the virtual meeting held by the eight countries with additional voluntary adjustments, including Saudi Arabia, Russia, Iraq, the United Arab Emirates, Kuwait, Kazakhstan, Algeria, and Oman, on 7 September 2025, the OPEC Secretariat received updated compensation plans as per the table above.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1759338235.png
Sep- | Oct- | Nov- | Dec- | Jan- | Feb- | Mar- | Apr- | May- | Jun-
ee ee ee ee ee eee
jKuwait | 32 |
[Kazakhstan | 16 | 21 | 86 | 126 | 198 | 306 | 456 | 496 | 556 | 656 |
joman | to] @ | 6 | 8 | eis | 7 tof
[Russia | 34 | 34 | 34 | 34 || | TT
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/577-01-october-2025.html"
"2025-10-01","The 62nd Meeting of the Joint Ministerial Monitoring Committee (JMMC) took place via videoconference on Wednesday, 01 October 2025.

The JMMC reviewed the crude oil production data for the months of July and August 2025 and noted the overall conformity for OPEC and non-OPEC countries participating in the Declaration of Cooperation (DoC).

The Committee reiterated the critical importance of achieving full conformity and compensation, and reviewed the updated compensation schedules.

The Committee also reaffirmed that it will continue to monitor adherence to the production adjustments decided upon at the 38th OPEC and non-OPEC Ministerial Meeting (ONOMM) held on 5 December 2024, and the additional voluntary production adjustments announced by some participating OPEC and non-OPEC countries as agreed upon in the 52nd JMMC held on 1 February 2024.

The JMMC retains the authority to convene additional meetings or to request an OPEC and non-OPEC Ministerial Meeting, as established during the 38th ONOMM held on 5 December 2024.

The next meeting of the JMMC (63rd) is scheduled for 30 November 2025.


[[IMAGE TABLE DATA START]]
Source: 1740051576.jpg
4           q    P)                      a pies =a                                    f                                        Lr ee as fu
     ‘            ia .                                               \                             ""
                                                         ' \    7                                                ‘
4                                                           AYE Xe                     a» &
[[IMAGE TABLE DATA END]]


[[IMAGE TABLE DATA START]]
Source: 1739865647.jpg
j                 wi                                          \                    =n                        KEE.                      Se
4                              gy        —                        ~         Seah        BENS
’                                    ,         (ol ‘)      i                            '!            ~~     .
£                1                                                     ’
s                    .                   N
)                 \* \                                     (      Ns
[[IMAGE TABLE DATA END]]","https://www.opec.org/pr-detail/576-01-october-2025.html"
